code,lot
CHA 319.4 ,1
CHA 320.4 ,1
CHA 325.6 ,1
CHA 325.7 ,1
CHA 325.8 ,1
CHS 602.3 ,1
CHS 607.5 ,1
CHS 614.2 ,1
CHS 615.1 ,1
GS 141405,1
GS 143006,1
HAR FD73602,1
HAR FD73603,1
MT 71031 ,1
MT 71032 ,1
MT 71033 ,1
MT 71035 ,1
MT 71036 ,1
MT 71037 ,1
MT 71039 ,1
MT 710410 ,1
MT 710411 ,1
MT 71045 ,1
MT 71046 ,1
MT 71048 ,1
MT 71501 ,1
MT 71502 ,1
MT 71503 ,1
MT 71505 ,1
MT 71601 ,1
MT 71602 ,1
MT 71603 ,1
MT 71605 ,1
MT 71606 ,1
MT 71608 ,1
MT 71609 ,1
MT 71611 ,1
MT 71801 ,1
MT 71802 ,1
MT 71803 ,1
MT 7A001 ,1
MT 7A002 ,1
MT 7A003 ,1
MT 7A005 ,1
MT 7A006 ,1
MT 7A007 ,1
MT 7A008 ,1
MT 7A101 ,1
MT 7A102 ,1
MT 7A103 ,1
MT 7A105 ,1
MT 7A107 ,1
MT 7A108 ,1
MT 7A201 ,1
MT 7A202 ,1
MT 7A203 ,1
MT 7A205 ,1
MT 7A206 ,1
MT 7A207 ,1
MT 7A301 ,1
MT 7A302 ,1
MT 7A303 ,1
MT 7A305 ,1
MT 7A306 ,1
MT 7A501 ,1
MT 7A502 ,1
MT 7A503 ,1
MT 7A505 ,1
MT 7A506 ,1
MT 7A507 ,1
MT 7A508 ,1
MT 7A601 ,1
MT 7A602 ,1
MT 7A603 ,1
MT 7A605 ,1
MT 7A606 ,1
MT 7A701 ,1
MT 7A702 ,1
MT 7A703 ,1
MT 7A705 ,1
MT 7A706 ,1
MT 7A707 ,1
MT 7A708 ,1
MT 7A709 ,1
MT 7A901 ,1
MT 7A902 ,1
MT 7A903 ,1
MT 7A905 ,1
MT 7A906 ,1
MT MS 1011 ,1
MT MS 1012 ,1
MT MS 1013 ,1
MT MS 1015 ,1
MT MS 1016 ,1
MT MS 1017 ,1
MT MS 1095 ,1
MT MS 1096 ,1
MT MS 1097 ,1
MT MS 1098 ,1
MT MS 1101 ,1
MT MS 1102 ,1
MT MS 1103 ,1
MT MS 1105 ,1
MT MS 1151 ,1
MT MS 1152 ,1
MT MS 1153 ,1
MT MS 1155 ,1
MT MS 1156 ,1
MT MS 1157 ,1
MT MS 1158 ,1
TA 01,1
TA 02,1
TA 03,1
TA 04,1
TA 05,1
TA 06,1
TA 07,1
TA 08,1
TA 09,1
TA 12,1
TA 14,1
TA 16,1
TA 17,1
TA 18,1
TA 19,1
TA 20,1
TA 21,1
TA 22,1
TA 23,1
TA 24,1
TA 25,1
TA 26,1
TA 27,1
TA 28,1
TA 29,1
TA 30,1
TA 31,1
TA 32,1
TA 33,1
TA 34,1
TA 35,1
TA 36,1
TA 37,1
TA 38,1
TA 39,1
TA 40,1
TA 41,1
TA 42,1
TA 43,1
TA 44,1
TA 46,1
TR 826110,1
TR 826120,1
CHR 118.2 ,2
CHS 607.5 ,2
CHS 607.6 ,2
CHS 614.2 ,2
GS 140604,2
GS 140703,2
GS 140705,2
GS 140707,2
GS 140903,2
GS 140904,2
GS 140905,2
GS 140906,2
GS 141403,2
GS 141404,2
GS 141406,2
GS 141407,2
GS 143007,2
LV 110110.1 ,2
LV 110110.3 ,2
LV 110110.4 ,2
LV 110111.4 ,2
LV 110112.1 ,2
LV 110113.2 ,2
LV 110113.3 ,2
LV 110114.1 ,2
LV 110114.2 ,2
LV 110114.3 ,2
LV 110114.4 ,2
LV 110115.4 ,2
LV 110118.5 ,2
LV 110119.1 ,2
LV 110119.2 ,2
LV 110119.3 ,2
LV 110119.7 ,2
LV 110120.1 ,2
LV 110120.2 ,2
LV 110120.3 ,2
LV 110120.4 ,2
LV 110121.2 ,2
LV 110121.3 ,2
LV 110121.4 ,2
LV 110122.1 ,2
LV 110122.4 ,2
LV 110122.5 ,2
LV 110122.6 ,2
LV 110123.2 ,2
LV 110123.3 ,2
LV 110123.4 ,2
LV 110124.2 ,2
LV 110124.3 ,2
LV 110124.4 ,2
LV 110124.5 ,2
LV 110125.2 ,2
LV 110125.4 ,2
LV 110126.2 ,2
LV 110126.3 ,2
LV 110126.5 ,2
LV 110126.7 ,2
LV 110126.8 ,2
LV 110127.2 ,2
LV 110127.3 ,2
LV 110128.2 ,2
LV 110128.5 ,2
LV 110129.1 ,2
LV 110129.3 ,2
TA 01,2
TA 18,2
TA 21,2
TA 23,2
TA 24,2
TR 826101,2
TR 826105,2
TR 826120,2
TR 826121,2
TR 826212,2
TR 826235,2
CHR 127.1 ,3
CHR 129.1 ,3
CHS 602.3 ,3
CHS 603.3 ,3
CHS 606.2 ,3
CHS 609.4 ,3
CHS 614.3 ,3
CHS 614.4 ,3
CHS 615.1 ,3
CHS 618.1 ,3
CHS 618.3 ,3
CHS 619.3 ,3
CHS 622.1 ,3
GS 140704,3
GS 141604,3
GS 141605,3
HAR 65EM204,3
HAR FD73204,3
HAR FD73206,3
HAR FD73303,3
HAR FD73304,3
HAR FD73401,3
HAR FD73405,3
HAR FD73505,3
TR 826105,3
TR 826113,3
TR 826233,3
CHS 600.1 ,4
CHS 601.1 ,4
CHS 602.2 ,4
CHS 602.4 ,4
CHS 606.3 ,4
CHS 609.1 ,4
CHS 610.2 ,4
CHS 610.5 ,4
CHS 611.1 ,4
CHS 611.5 ,4
CHS 614.6 ,4
CHS 615.3 ,4
CHS 618.4 ,4
CHS 619.2 ,4
CHS 619.4 ,4
CHS 619.5 ,4
CHS 621.1 ,4
CHS 621.2 ,4
CHS 622.1 ,4
CHS 622.4 ,4
CHS 623.2 ,4
CHS 623.4 ,4
CHS 624.2 ,4
CHS 624.3 ,4
GS 141602,4
HAR 65EM301,4
HAR FD73201,4
HAR FD73205,4
HAR FD73305,4
HAR FD73306,4
HAR FD73307,4
HAR FD73401,4
HAR FD73501,4
HAR FD73502,4
HAR FD73503,4
HAR FD73504,4
HAR FD73505,4
HAR FD73506,4
LV 110110.2 ,4
LV 110110.3 ,4
LV 110111.4 ,4
LV 110112.1 ,4
LV 110112.4 ,4
LV 110114.1 ,4
LV 110114.2 ,4
LV 110115.3 ,4
LV 110115.5 ,4
LV 110116.1 ,4
LV 110116.5 ,4
LV 110117.1 ,4
LV 110117.2 ,4
LV 110117.3 ,4
LV 110117.4 ,4
LV 110117.5 ,4
LV 110117.6 ,4
LV 110117.7 ,4
LV 110118.2 ,4
LV 110118.3 ,4
